Año,Comuna,Población Total,Población Masculina,Población Femenina,Barrios
2016,Comuna 1,252053,124045,128008,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución"
2016,Comuna 2,149848,66870,82978,Recoleta
2016,Comuna 3,192573,90614,101959,Balvanera y San Cristóbal
2016,Comuna 4,238303,113518,124785,"La Boca, Barracas, Parque Patricios y Nueva Pompeya"
2016,Comuna 5,186740,85640,101100,Almagro y Boedo
2016,Comuna 6,184611,84068,100543,Caballito
2016,Comuna 7,240116,112527,127589,Flores y Parque Chacabuco
2016,Comuna 8,225737,107199,118538,"Villa Soldati, Villa Riachuelo y Villa Lugano"
2016,Comuna 9,170353,82045,88308,"Liniers, Mataderos y Parque Avellaneda"
2016,Comuna 10,170163,79688,90475,"Villa Real, Monte Castro, Versalles, Floresta, Vélez Sarsfield y Villa Luro"
2016,Comuna 11,189956,89599,100357,"Villa General Mitre, Villa Devoto, Villa del Parque y Villa Santa Rita"
2016,Comuna 12,213576,99433,114143,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón"
2016,Comuna 13,235819,107484,128335,"Núñez, Belgrano y Colegiales"
2016,Comuna 14,226884,102515,124369,Palermo
2016,Comuna 15,182390,85286,97104,"Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía y Parque Chas"
2017,Comuna 1,253271,125021,128250,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución"
2017,Comuna 2,149720,66825,82895,Recoleta
2017,Comuna 3,192763,90802,101961,Balvanera y San Cristóbal
2017,Comuna 4,238809,113908,124901,"La Boca, Barracas, Parque Patricios y Nueva Pompeya"
2017,Comuna 5,186956,85822,101134,Almagro y Boedo
2017,Comuna 6,184846,84263,100583,Caballito
2017,Comuna 7,240607,112905,127702,Flores y Parque Chacabuco
2017,Comuna 8,226649,107863,118786,"Villa Soldati, Villa Riachuelo y Villa Lugano"
2017,Comuna 9,170605,82265,88340,"Liniers, Mataderos y Parque Avellaneda"
2017,Comuna 10,170282,79790,90492,"Villa Real, Monte Castro, Versalles, Floresta, Vélez Sarsfield y Villa Luro"
2017,Comuna 11,189986,89641,100345,"Villa General Mitre, Villa Devoto, Villa del Parque y Villa Santa Rita"
2017,Comuna 12,213914,99692,114222,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón"
